,taxon_oid,file_name,file_id_list
24,3300021496,Table_8_-_3300021496.taxonomic_composition.txt,5a056c237ded5e41c3068550
7,3300021497,Table_8_-_3300021497.taxonomic_composition.txt,5a056c187ded5e41c3068537
8,3300021498,Table_8_-_3300021498.taxonomic_composition.txt,5a056c997ded5e41c3068565
20,3300021499,Table_8_-_3300021499.taxonomic_composition.txt,5a0572297ded5e41c30685d4
29,3300021500,Table_8_-_3300021500.taxonomic_composition.txt,5a05725d7ded5e41c30685e7
28,3300021501,Table_8_-_3300021501.taxonomic_composition.txt,5a0571f37ded5e41c30685c1
39,3300021502,Table_8_-_3300021502.taxonomic_composition.txt,5a0578197ded5e41c3068640
9,3300021503,Table_8_-_3300021503.taxonomic_composition.txt,5a05780f7ded5e41c306862d
13,3300021504,Table_8_-_3300021504.taxonomic_composition.txt,5a05786c7ded5e41c3068653
18,3300021505,Table_8_-_3300021505.taxonomic_composition.txt,5a057dcd7ded5e41c306866e
5,3300021506,Table_8_-_3300021506.taxonomic_composition.txt,5a057e3c7ded5e41c3068681
26,3300021507,Table_8_-_3300021507.taxonomic_composition.txt,5a057e637ded5e41c3068694
44,3300021508,Table_8_-_3300021508.taxonomic_composition.txt,5a05846e7ded5e41c30686cb
38,3300021509,Table_8_-_3300021509.taxonomic_composition.txt,5a0584a57ded5e41c30686f1
27,3300021510,Table_8_-_3300021510.taxonomic_composition.txt,5a0584937ded5e41c30686de
16,3300021511,Table_8_-_3300021511.taxonomic_composition.txt,5a0589b27ded5e41c306872f
33,3300021512,Table_8_-_3300021512.taxonomic_composition.txt,5a058bce7ded5e41c3068755
24,3300021513,Table_8_-_3300021513.taxonomic_composition.txt,5a058bbc7ded5e41c3068742
30,3300021514,Table_8_-_3300021514.taxonomic_composition.txt,5a058f587ded5e41c30687c2
33,3300021515,Table_8_-_3300021515.taxonomic_composition.txt,5a0590e17ded5e41c30687e7
6,3300021516,Table_8_-_3300021516.taxonomic_composition.txt,5a0592707ded5e41c30687fa
34,3300021519,Table_8_-_3300021519.taxonomic_composition.txt,5a05a7277ded5e41c306899d
30,3300021520,Table_8_-_3300021520.taxonomic_composition.txt,5a05ba567ded5e41c3068b33
4,3300021540,Table_8_-_3300021540.taxonomic_composition.txt,5a0689677ded5e41c306a580
26,3300021559,Table_8_-_3300021559.taxonomic_composition.txt,5a0854c17ded5e41c306ae77
22,3300021560,Table_8_-_3300021560.taxonomic_composition.txt,5a095ba37ded5e41c306b101
28,3300021563,Table_8_-_3300021563.taxonomic_composition.txt,5a0a7de77ded5e41c306ba0a
39,3300021579,Table_8_-_3300021579.taxonomic_composition.txt,5a0a9a027ded5e41c306bbf6
16,3300021580,Table_8_-_3300021580.taxonomic_composition.txt,5a0a9b307ded5e41c306bc46
30,3300021587,Table_8_-_3300021587.taxonomic_composition.txt,5a0aa9257ded5e41c306bd06
19,3300021588,Table_8_-_3300021588.taxonomic_composition.txt,5a0aa9477ded5e41c306bd19
22,3300021589,Table_8_-_3300021589.taxonomic_composition.txt,5a0aa8d57ded5e41c306bcf3
13,3300021590,Table_8_-_3300021590.taxonomic_composition.txt,5a0aae1f7ded5e41c306bd42
12,3300021591,Table_8_-_3300021591.taxonomic_composition.txt,5a0aae487ded5e41c306bd55
19,3300021592,Table_8_-_3300021592.taxonomic_composition.txt,5a0aadff7ded5e41c306bd2f
39,3300021597,Table_8_-_3300021597.taxonomic_composition.txt,5a0ac2d47ded5e41c306bde7
48,3300021600,Table_8_-_3300021600.taxonomic_composition.txt,5a0ae1277ded5e41c306bf8d
44,3300021601,Table_8_-_3300021601.taxonomic_composition.txt,5a0ae18d7ded5e41c306bfa1
20,3300021602,Table_8_-_3300021602.taxonomic_composition.txt,5a0b1fdb7ded5e41c306c279
37,3300021604,Table_8_-_3300021604.taxonomic_composition.txt,5a0c14527ded5e41c306ca34
